納品先名,住所1,リードタイム,Bランク料金,Aランク料金,電話番号
クージュー 厚木センター,神奈川県愛甲郡愛川町中津4020-5,D+1,450,551,046-284-2550
クージュー 関西センター,兵庫県神戸市東灘区向洋町西2-5,D+2,754,821,078-857-1661
きちり関東物流センター,埼玉県さいたま市岩槻区柏崎谷際1063-1,D+1,350,428,048-790-4087
株式会社久世 第二横浜ＤＣ,神奈川県厚木市船子139-1,D+1,450,551,070-2039-2639
(株)サッポロライオン首都圏物流センター,神奈川県愛甲郡愛川町中津4020-5,D+1,450,551,046-284-2550
ｷﾕｰﾋﾟｰﾀﾏｺﾞ(株) 尾張工場,愛知県春日井市神屋町１２１８番１１,D+1,563,720,0568-88-7000
岩槻低温センター,埼玉県さいたま市岩槻区浮谷字松葉610-1,D+1,350,428,048-791-6229
昭和物産（株） 埼玉支店,埼玉県戸田市美女木北2丁目10番地の11,D+1,350,428,048-449-8181
星和ロジテム 京都ＰＤセンター,京都府久世郡御山町森中内8-1,D+2,754,821,075-633-5048
TAKAIDOｸｰﾙﾌﾛｰ (株)杉戸物流ｾﾝﾀｰ,埼玉県北葛飾郡杉戸町深輪197-8,D+1,350,428,0480-38-3355
ヤマコー・テクノ流通（株）沼津営業所,静岡県沼津市一本松１１６－２,D+1,563,686,055-969-2277
株式会社トミヤコーヒー 浜松支店,静岡県浜松市中央区白鳥町９８９,D+1,563,698,053-422-7788
日本レストランデリバリー(株),東京都大田区鵜の木３－３－１４,D+1,340,416,03-3759-8321
道頓堀 瑞穂物流センター,東京都西多摩郡瑞穂町長岡３－４－８,D+1,340,416,042-556-1586
フードマン中部地区センター,愛知県一宮市開明字苅安賀60,D+1,563,720,0586-64-5267
株式会社ﾀｲﾍｲ物流ｼｽﾃﾑ 松戸ｾﾝﾀｰ,千葉県松戸市稔台6-8-9,D+1,450,563,047-711-8028
大洋産業 株式会社,兵庫県神戸市東灘区深江浜町１２９,D+2,754,821,078-411-0600
